0-0-0 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Piano 1, category=null]
0-0-1 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Piano 2, category=null]
0-0-2 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Piano 3, category=null]
0-0-3 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Honky-tonk, category=null]
0-0-4 MidiPresetIdentity[deviceMode=null, bankName=$0, name=E.Piano 1, category=null]
0-0-5 MidiPresetIdentity[deviceMode=null, bankName=$0, name=E.Piano 2, category=null]
0-0-6 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Harpsichord, category=null]
0-0-7 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Clav., category=null]
0-0-8 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Celesta, category=null]
0-0-9 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Glockenspiel, category=null]
0-0-10 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Music Box, category=null]
0-0-11 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Vibraphone, category=null]
0-0-12 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Marimba, category=null]
0-0-13 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Xylophone, category=null]
0-0-14 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Tubular-bell, category=null]
0-0-15 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Santur, category=null]
0-0-16 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Organ 1, category=null]
0-0-17 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Organ 2, category=null]
0-0-18 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Organ 3, category=null]
0-0-19 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Church Org.1, category=null]
0-0-20 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Reed Organ, category=null]
0-0-21 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Accordion Fr, category=null]
0-0-22 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Harmonica, category=null]
0-0-23 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Bandoneon, category=null]
0-0-24 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Nylon-str.Gt, category=null]
0-0-25 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Steel-str.Gt, category=null]
0-0-26 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Jazz Gt., category=null]
0-0-27 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Clean Gt., category=null]
0-0-28 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Muted Gt., category=null]
0-0-29 MidiPresetIdentity[deviceMode=null, bankName=$0, name=Overdrive Gt, category=null]
0-0-30 MidiPresetIdentity[deviceMode=null, bankName=$0, name=DistortionGt, category=null]
