-------------------------------------
Boss DS-330 Memory dump
-------------------------------------
SystemParams Zone 0x100000 (packed: 0x400000) 0x000080 (packed: 0x000100) BYTES
-------------------------------------
0x100000 (packed: 0x400000)=00040000        SystemParams Zone/SystemParams/Tune
0x100004 (packed: 0x400004)=7F              SystemParams Zone/SystemParams/Level
0x100005 (packed: 0x400005)=40              SystemParams Zone/SystemParams/Pitch
0x100006 (packed: 0x400006)=40              SystemParams Zone/SystemParams/Pan
0x100007 (packed: 0x400007)=00              SystemParams Zone/SystemParams/[0]/reserved
0x100008 (packed: 0x400008)=00              SystemParams Zone/SystemParams/[1]/reserved
0x100009 (packed: 0x400009)=00              SystemParams Zone/SystemParams/[2]/reserved
0x10000A (packed: 0x40000A)=00              SystemParams Zone/SystemParams/[3]/reserved
0x10000B (packed: 0x40000B)=00              SystemParams Zone/SystemParams/[4]/reserved
0x10000C (packed: 0x40000C)=00              SystemParams Zone/SystemParams/[5]/reserved
0x10000D (packed: 0x40000D)=00              SystemParams Zone/SystemParams/[6]/reserved
0x10000E (packed: 0x40000E)=00              SystemParams Zone/SystemParams/[7]/reserved
0x10000F (packed: 0x40000F)=00              SystemParams Zone/SystemParams/[8]/reserved
0x100010 (packed: 0x400010)=00              SystemParams Zone/SystemParams/[9]/reserved
0x100011 (packed: 0x400011)=00              SystemParams Zone/SystemParams/[10]/reserved
0x100012 (packed: 0x400012)=00              SystemParams Zone/SystemParams/[11]/reserved
0x100013 (packed: 0x400013)=00              SystemParams Zone/SystemParams/[12]/reserved
0x100014 (packed: 0x400014)=00              SystemParams Zone/SystemParams/[13]/reserved
0x100015 (packed: 0x400015)=00              SystemParams Zone/SystemParams/[14]/reserved
0x100016 (packed: 0x400016)=00              SystemParams Zone/SystemParams/[15]/reserved
0x100017 (packed: 0x400017)=00              SystemParams Zone/SystemParams/[16]/reserved
0x100018 (packed: 0x400018)=00              SystemParams Zone/SystemParams/[17]/reserved
0x100019 (packed: 0x400019)=00              SystemParams Zone/SystemParams/[18]/reserved
0x10001A (packed: 0x40001A)=00              SystemParams Zone/SystemParams/[19]/reserved
0x10001B (packed: 0x40001B)=00              SystemParams Zone/SystemParams/[20]/reserved
0x10001C (packed: 0x40001C)=00              SystemParams Zone/SystemParams/[21]/reserved
0x10001D (packed: 0x40001D)=00              SystemParams Zone/SystemParams/[22]/reserved
0x10001E (packed: 0x40001E)=00              SystemParams Zone/SystemParams/[23]/reserved
0x10001F (packed: 0x40001F)=00              SystemParams Zone/SystemParams/[24]/reserved
0x100020 (packed: 0x400020)=00              SystemParams Zone/SystemParams/[25]/reserved
0x100021 (packed: 0x400021)=00              SystemParams Zone/SystemParams/[26]/reserved
0x100022 (packed: 0x400022)=00              SystemParams Zone/SystemParams/[27]/reserved
0x100023 (packed: 0x400023)=00              SystemParams Zone/SystemParams/[28]/reserved
0x100024 (packed: 0x400024)=00              SystemParams Zone/SystemParams/[29]/reserved
0x100025 (packed: 0x400025)=00              SystemParams Zone/SystemParams/[30]/reserved
0x100026 (packed: 0x400026)=00              SystemParams Zone/SystemParams/[31]/reserved
